year,from_country_id,to_country_id,total_points,tele_points,jury_points,norm_points,voting_regime,pair_id,numeric_id,contig,comlang_off,comlang_ethno,colony,comcol,curcol,col45,smctry,distw,former_soviet_from_country,former_yugoslav_from_country,scandinavian_from_country,balkan_from_country,former_soviet_to_country,former_yugoslav_to_country,scandinavian_to_country,balkan_to_country,former_soviet,former_yugoslav,scandinavian,balkan,eu_membership,from_gdp_usd,from_gdp_pc_usd,from_log_gdp_usd,from_log_gdp_pc_usd,to_gdp_usd,to_gdp_pc_usd,to_log_gdp_usd,to_log_gdp_pc_usd,gdp_similarity,migrant_stock,migration_source,voting_country_population,migration_intensity,trade_bilateral,trade_openness,log_trade_openness,log_trade_bilateral
1957,CHE,DNK,0,,,0.0,10.0,CHE-DNK,74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1015.161,0,0,0,0,0,0,1,0,0,0,0,0,0,,,,,,,,,,,missing,,,,,,
1957,CHE,LUX,0,,,0.0,10.0,CHE-LUX,75,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,322.1524,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,missing,,,,,,
1957,CHE,DEU,0,,,0.0,10.0,CHE-DEU,76,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,543.4735,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,missing,,,,,,
1957,CHE,ITA,0,,,0.0,10.0,CHE-ITA,77,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,609.6788,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,missing,,,,,,
1957,CHE,GBR,2,,,0.2,10.0,CHE-GBR,78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,902.2784,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,missing,,,,,,
1957,CHE,BEL,1,,,0.1,10.0,CHE-BEL,79,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,503.0689,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,missing,,,,,,
1957,CHE,AUT,0,,,0.0,10.0,CHE-AUT,80,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,576.4147,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,missing,,,,,,
1957,GBR,NLD,1,,,0.1,10.0,GBR-NLD,81,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,467.948,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,missing,,,,,,
1957,GBR,FRA,2,,,0.2,10.0,GBR-FRA,82,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,749.6503,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,missing,,,,,,
1957,GBR,DNK,2,,,0.2,10.0,GBR-DNK,83,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,920.432,0,0,0,0,0,0,1,0,0,0,0,0,0,,,,,,,,,,,missing,,,,,,
1957,GBR,LUX,1,,,0.1,10.0,GBR-LUX,84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,621.0148,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,missing,,,,,,
1957,GBR,DEU,0,,,0.0,10.0,GBR-DEU,85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,808.641,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,missing,,,,,,
